Date,TRBCX
1997-02-19,15.77935037
1997-02-20,15.58644867
1997-02-21,15.53243706
1997-02-24,15.63274536
1997-02-25,15.68676421
1997-02-26,15.60960064
1997-02-27,15.46299563
1997-02-28,15.39354697
1997-03-03,15.47071054
1997-03-04,15.41669894
1997-03-05,15.60188573
1997-03-06,15.60960064
1997-03-07,15.69447912
1997-03-10,15.83336922
1997-03-11,15.80250234
1997-03-12,15.68676421
1997-03-13,15.43212875
1997-03-14,15.47842545
1997-03-17,15.47842545
1997-03-18,15.37811715
1997-03-19,15.30096081
1997-03-20,15.29323866
1997-03-21,15.24694196
1997-03-24,15.35497242
1997-03-25,15.33953536
1997-03-26,15.35497242
1997-03-27,15.10033696
1997-03-31,14.72997062
1997-04-01,14.76855241
1997-04-02,14.61422526
1997-04-03,14.66052195
1997-04-04,14.83799384
1997-04-07,14.94601705
1997-04-08,14.99231375
1997-04-09,14.89200544
1997-04-10,14.83799384
1997-04-11,14.49848713
1997-04-14,14.55249874
1997-04-15,14.72997062
1997-04-16,14.85342365
1997-04-17,14.83027893
1997-04-18,14.87657563
1997-04-21,14.72997062
1997-04-22,14.92287232
1997-04-23,14.93830214
1997-04-24,14.90743526
1997-04-25,14.73768553
1997-04-28,14.86113856
1997-04-29,15.23151215
1997-04-30,15.38583206
1997-05-01,15.35497242
1997-05-02,15.61731555
1997-05-05,15.93367752
1997-05-06,15.87194376
1997-05-07,15.68676421
1997-05-08,15.77935037
1997-05-09,15.84879903
1997-05-12,16.03398583
1997-05-13,15.96453716
1997-05-14,16.02627092
1997-05-15,16.11114216
1997-05-16,15.94139243
1997-05-19,15.97225207
1997-05-20,16.11114216
1997-05-21,16.11114216
1997-05-22,16.06484546
1997-05-23,16.25003225
1997-05-27,16.26546207
1997-05-28,16.24231734
1997-05-29,16.20373555
1997-05-30,16.28861404
1997-06-02,16.26546207
1997-06-03,16.25774716
1997-06-04,16.18830574
1997-06-05,16.26546207
1997-06-06,16.48923065
1997-06-09,16.55095717
1997-06-10,16.58953895
1997-06-11,16.66670253
1997-06-12,16.88274896
1997-06-13,17.04479102
1997-06-16,17.06793575
1997-06-17,17.09108772
1997-06-18,17.03706887
1997-06-19,17.22225566
1997-06-20,17.19139603
1997-06-23,16.87503405
1997-06-24,17.09880263
1997-06-25,17.02163905
1997-06-26,16.92133075
1997-06-27,17.01392414
1997-06-30,16.98305726
1997-07-01,17.09108772
1997-07-02,17.27626727
1997-07-03,17.43830933
1997-07-07,17.41515736
1997-07-08,17.51546567
1997-07-09,17.39972754
1997-07-10,17.50003585
1997-07-11,17.53090273
1997-07-14,17.57719943
1997-07-15,17.66979282
1997-07-16,17.83182764
1997-07-17,17.77781603
1997-07-18,17.54633255
1997-07-21,17.47689112
1997-07-22,17.77781603
1997-07-23,17.87812434
1997-07-24,17.95528067
1997-07-25,17.91670613
1997-07-28,17.83954255
1997-07-29,17.96300283
1997-07-30,18.14046746
1997-07-31,18.17904925
1997-08-01,18.08645586
1997-08-04,18.13275255
1997-08-05,18.17133434
1997-08-06,18.29478737
1997-08-07,18.13275255
1997-08-08,17.85497237
1997-08-11,17.85497237
1997-08-12,17.73923425
1997-08-13,17.68522264
1997-08-14,17.73923425
1997-08-15,17.41515736
1997-08-18,17.51546567
1997-08-19,17.73923425
1997-08-20,17.95528067
1997-08-21,17.75466406
1997-08-22,17.71608227
1997-08-25,17.66979282
1997-08-26,17.56176236
1997-08-27,17.56947727
1997-08-28,17.42287227
1997-08-29,17.36886066
1997-09-02,17.76237897
1997-09-03,17.80096076
1997-09-04,17.88583925
1997-09-05,17.85497237
1997-09-08,17.87812434
